"#","Reference","Qty","Value","Footprint","DNP","LCSC#","manf#"
"1","J1","1","Coil","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","WMRR138F-0"
"2","J2","1","Conn_01x10_Socket","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","","C57369",""
"3","J3","1","Conn_01x08_Socket","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Horizontal","","C492407",""
"4","J4","1","Conn_01x08_Socket","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","DNP","C492407",""
"5","J5","1","Conn_01x10_Socket","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","DNP","C57369",""
"6","SW1","1","On","footprintsg:JS102011SAQN","","","JS102011SAQN"
"7","U1","1","TC4424","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C44150","TC4424AVOA713"
