"#","Reference","Qty","Value","Footprint","DNP","LCSC#","manf#"
"1","C1","1","100uF","Capacitor_SMD:C_0805_2012Metric","","","581-TLCR107M006RTA"
"2","D1, D2","2","LED","LED_SMD:LED_0805_2012Metric","","C205442","ORH-G35A"
"3","D3","1","LED","LED_SMD:LED_0805_2012Metric","","C84261","NCD0805Y1"
"4","D4","1","LED","LED_SMD:LED_0805_2012Metric","","C130114","D-R080508L3-KS2"
"5","IC1","1","DWM1000","RF_Module:DWM1000","","","772-DWM1000"
"6","J1","1","Conn_01x08_Socket","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Horizontal","","C5360907","PZ2.54-1*20-WZ"
"7","J2","1","Conn_01x10_Socket","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","","C5360907","PZ2.54-1*20-WZ"
"8","R1, R2, R3, R4, R5","5","1K","Resistor_SMD:R_0805_2012Metric","","C25623","0805W8J0102T5E"
